Title,Rating,Year,Genre,Director,Actors,Images
1917,8.2,2019,Action,Sam Mendes,"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays', 'Colin Firth', 'Pip Carter', 'Andy Apollo', 'Paul Tinto', 'Josef Davies', 'Billy Postlethwaite', 'Gabriel Akuwudike', 'Andrew Scott', 'Spike Leighton', 'Robert Maaser', 'Gerran Howell', 'Adam Hugill', 'Mark Strong', 'Richard McCabe', 'Benjamin Adams', 'Anson Boon', 'Kenny Fullwood', 'Tommy French', 'Nabhaan Rizwan', 'Ryan Nolan', 'Elliot Baxter', 'Bogdan Kumshatsky', 'Kye Mckee', 'Claire Duburcq', 'Ivy-l Macnamara', 'Merlin Leonhardt', 'Taddeo Kufus', 'Jos Slovick', 'Luke Hornsby', 'Jack Shalloo', 'Elliot Edusah', 'Chris Walley', 'Joe Anders', 'Jacob James Beswick', 'Michael Jibson', 'Ian Wilson', 'Bradley Connor', 'Justin Edwards', 'John Hollingworth', 'Jamie Parker', 'Daniel Attwell', 'Samson Cox-Vinell', 'Jonny Lavelle', 'Michael Rouse', 'Benedict Cumberbatch', 'Adrian Scarborough', 'Richard Dempsey', 'Phil Cheadle', 'Jonah Russell', 'Richard Madden', 'Charles Alexandre', 'Spencer Allum', 'Kaine Applegate', 'Anj Avraam', 'Owun Birkett', 'Jake Burnside', 'Ewan Callaway', 'Ed Chidley', 'Jason Churchill', 'Harrison Cope', 'Oliver Cowlishaw', 'David Cromarty', 'Richard Curtis', 'Jack Darell', 'Gary Darling-Parkes', 'Luke Dixey', 'Liam Edwards', 'Charlie Fiske', 'Kieran Geary', 'George Graham', 'Joseph Aston Grant', 'Scott Harrington', 'Richie Hart', 'Martyn Hillyard', 'Mikel Iriarte', 'Sammy Jonas Heaney', 'Robin Lee', 'Ibrahim Majid', 'Ketan Majmudar', 'Seb Mayo', 'Michael McKinley', 'Daniel McMillon', 'Joseph Mills', 'Michael Mortimer', 'Callum Needham', 'Aubrey Newman', 'Todd B. Nurick', 'Mark Oldridge', 'Sam Piper', 'Richard Price', 'Jamie Read', 'Bradley Riches', 'Daniel Rosenberg', 'Josh Sanders', 'Chris Sansom', 'Will Sharp', 'Oliver Simms', 'Daniel Smales', 'Ethan Stammers', 'Scott Stevenson', 'David Stokes', 'Richard Townsley', 'James Troake', 'Josh Turner', 'George Verrall', 'Patrick Walsh', 'James Willmott', 'Tyler Winchcombe', 'Fraser Young']","https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_QL75_UX190_CR0,10,190,281_.jpg"
Ladri di biciclette,8.3,1948,Drama,Vittorio De Sica,"['Cesare Zavattini', 'Luigi Bartolini', 'Oreste Biancoli', ""Suso Cecchi D'Amico"", 'Vittorio De Sica', 'Adolfo Franci', 'Gherardo Gherardi', 'Gerardo Guerrieri', 'Cesare Zavattini']","https://m.media-amazon.com/images/M/MV5BNmI1ODdjODctMDlmMC00ZWViLWI5MzYtYzRhNDdjYmM3MzFjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR3,0,190,281_.jpg"
Taxi Driver,8.2,1976,Crime,Martin Scorsese,"['Diahnne Abbott', 'Frank Adu', 'Victor Argo', 'Gino Ardito', 'Garth Avery', 'Peter Boyle', 'Albert Brooks', 'Harry Cohn', 'Copper Cunningham', 'Robert De Niro', 'Brenda Dickson', 'Harry Fischler', 'Jodie Foster', 'Nat Grant', 'Leonard Harris', 'Richard Higgs', 'Beau Kayser', 'Harvey Keitel', 'Victor Magnotta', 'Bob Maroff', 'Norman Matlock', 'Bill Minkin', 'Murray Moston', 'Harry Northup', 'Gene Palma', 'Harlan Cary Poe', 'Steven Prince', 'Peter Savage', 'Martin Scorsese', 'Cybill Shepherd', 'Nicholas Shields', 'Ralph S. Singleton', 'Joe Spinell', 'Maria Turner', 'Robin Utt', 'Tommy Ardolino', 'Joseph Bergmann', 'Robert P. Cohen', 'David Daniel', 'William Donovan', 'Lionel Douglass', 'Jean Elliott', 'Annie Gagen', 'Trent Gough', 'Carson Grant', 'Mary-Pat Green', 'Robert John Keiber', 'James Mapes', 'Debbi Morgan', 'David Nichols', 'Antone Pagán', 'Billie Perkins', 'Michael Phillips', 'Catherine Scorsese', 'Charles Scorsese', 'Frankie Verroca']","https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,4,190,281_.jpg"
Downfall,8.2,2004,Biography,Oliver Hirschbiegel,"['Bernd Eichinger', 'Joachim Fest', 'Traudl Junge', 'Melissa Müller']","https://m.media-amazon.com/images/M/MV5BMTU0NTU5NTAyMl5BMl5BanBnXkFtZTYwNzYwMDg2._V1_QL75_UY281_CR1,0,190,281_.jpg"
Dangal,8.3,2016,Action,Nitesh Tiwari,"['Piyush Gupta', 'Shreyas Jain', 'Nikhil Mehrotra', 'Rajshri Sudhakar', 'Nitesh Tiwari']","https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_QL75_UY281_CR6,0,190,281_.jpg"
For a Few Dollars More,8.2,1965,Drama,Sergio Leone,"['Sergio Leone', 'Fulvio Morsella', 'Luciano Vincenzoni', 'Sergio Leone', 'Sergio Donati', ""Enzo Dell'Aquila"", 'Fernando Di Leo']","https://m.media-amazon.com/images/M/MV5BMzJlZTNkYjQtMTE1OS00YTJlLTgxNjItYzg4NTllODdkMzBiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,3,190,281_.jpg"
Batman Begins,8.2,2005,Action,Christopher Nolan,"['Bob Kane', 'David S. Goyer', 'Christopher Nolan', 'David S. Goyer']","https://m.media-amazon.com/images/M/MV5BOTY4YjI2N2MtYmFlMC00ZjcyLTg3YjEtMDQyM2ZjYzQ5YWFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR0,0,190,281_.jpg"
The Wolf of Wall Street,8.2,2013,Biography,Martin Scorsese,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey', 'Kyle Chandler', 'Rob Reiner', 'Jon Bernthal', 'Jon Favreau', 'Jean Dujardin', 'Joanna Lumley', 'Cristin Milioti', 'Christine Ebersole', 'Shea Whigham', 'Katarina Cas', 'P.J. Byrne', 'Kenneth Choi', 'Brian Sacca', 'Henry Zebrowski', 'Ethan Suplee', 'Barry Rothbart', 'Jake Hoffman', 'MacKenzie Meehan', 'Bo Dietl', 'Jon Spinogatti', 'Aya Cash', 'Rizwan Manji', 'Stephanie Kurtzuba', 'J.C. MacKenzie', 'Ashlie Atkinson', 'Thomas Middleditch', 'Stephen Kunken', 'Edward Herrmann', 'Jordan Belfort', 'Ted Griffin', 'Fran Lebowitz', 'Robert Clohessy', 'Natasha Newman-Thomas', 'Sandra Nelson', 'Johnnie Mae', 'Christina Jeffs', 'Sabina Maschi', 'Zana Markelson', 'Welker White', 'Danny Flaherty', 'Carla Corvo', 'Dustin Kerns', 'Ashley Blankenship', 'Madison McKinley', 'Dierdre Reimold', 'Kerry Malloy', 'Frank van Putten', 'Aaron Lazar', 'Steve Routman', 'Steve Witting', 'Charley Morgan', 'Michael Nathanson', 'Natalie Bensel', 'Tess Olivia', 'Jaclyn Keys', 'Krista Ashworth', 'Kathleen Fellegara', 'John Bernard Martin', 'Jamel Daniels', 'Dan Bittner', 'John Behlmann', 'Ward Horton', 'Bret Shuford', 'Paul Monte Jr.', 'Ellen Sexton', 'Brian Tweedy', ""J.T. O'Connor"", 'Steven Boyer', 'Danny A. Abeckaser', 'Tracy Friedman', 'Matthew Rauch', 'Michael Izquierdo', 'Donnie Keshawarz', 'Johnathan Tchaikovsky', 'Aaron Glaser', 'Ben Rameaka', 'Ben Loving', 'Brian Charles Johnson', 'Sebastian Tillinger', 'Chris Riggi', 'Dan Hunter', 'Meghan Rafferty', 'José Ramón Rosario', 'Davram Stiefler', 'Dan Daily', 'Ben Van Bergen', 'Matte Osian', 'Michael Devine', 'Jason Furlani', 'Scott Nicholson', 'Jeremy Bobb', 'Dean Auer', 'Tom Greer', 'Sharon Jones', 'Starr Duncan-Lowe', 'Saundra Williams', 'Emily Tremaine Fernandez', 'Zineb Oukach', 'Loretta O. Booz', 'Shea Coleman', 'Giselle Eisenberg', 'Deema Aitken', 'Ashley Springer', 'Justin Anthony Long', 'Gregory Perri', 'Viki Boyle', 'Chris Caldovino', 'Marcos A. Gonzalez', 'Chris Matesevac', 'Justin Yllanes', 'Rémy Bennett', 'Catherine Curtin', 'Paul Urcioli', ""Jamie O'Connell"", ""Michael O'Hara"", 'Lawrence Lau', 'Michael Bryan French', 'Adria Baratta', 'Armen Garo', 'Garry Pastore', 'Louis Vanaria', 'Lawrence Smith', 'Hardy Winburn', 'Allyson Carr', 'Peter Youngblood Hills', 'Daniel Hepner', 'Brendan Griffin', 'Derek Milman', 'Victor Verhaeghe', 'Jared Houseman', 'Rebecca Mulberg', 'Shaun Allen', 'Logan Alten', 'David Antoine', 'Ariela Arnon', 'Jordan Asinofsky', 'Vic Bagratuni', 'Fileena Bahris', 'Ari Barkan', 'Gianni Biasetti Jr.', 'Basilica Bierl', 'Liza Binkley', 'Blago', 'Peter Bloch', 'Rick Bolander', 'Will Boyajian', 'Julian Brand', 'Roger Brenner', 'Francis Brooke', 'Jerome Brooks Jr.', 'Gregory M. Brown', 'Tucker Bryan', 'Jean Burns', 'Bryan Burton', 'Steve Buscemi', 'Wendy Callard-Booz', 'Alyson Cambridge', 'Ryan Canney', 'Kenneth Carrella', 'Justine Denea Cassady', 'Oscar J. Castillo', 'Mike Catapano', 'Steve Cavanaugh', 'Alegra Chetti', 'Jose Claudio', 'David Clift', 'Cody Collier', 'Steve Comisar', 'Tyler Cook', 'Courtney Cooper', 'Richard R. Corapi', 'Mario Corry', 'Cia Court', 'Chris J. Cullen', 'Ryan Curtis', 'Christina Daniels', 'Natalie Daniels', 'Jason Daunno', 'George Davanzo', 'Francine Daveta', 'Kelsey Deanne', 'Ray DeForest', 'Julian DeVincenzo', 'Maria Di Angelis', 'Jaclyn Dietl', 'Joseph Dimartino', 'Susan DiStaulo', 'Ross Donnelly', 'Filip Dordievski', 'Michael Dubuc', 'Aaron Dworetzky', 'Marc T. Engberg', 'Michael Engberg', 'Blake J. Evans', 'Trent Falco', 'Mark Falvo', 'Joe Farina', 'Austin Farwell', 'Nicholas Ferrara', 'Corinna Jeanine Fleck', 'Brian Colin Foley', 'Jesse Michael Fullington', 'Steve Garfanti', 'Scotty Gelt', 'Ryan Genualdi', 'Robin George', 'Matthew Gooley', 'Drew Gregory', 'Julie Gudz', 'London Hall', 'Jon Hartley', 'Leanne Hayward', 'Clint Headley', 'Matthew Herington', 'Tom Hoads', 'Bill Hobbs', 'Alex Hodgins', 'Colin Holmes', 'Jacqueline Honulik', 'Rosemary Howard', 'James Huffman', 'Marisa Hunter', 'Jon W. Huston', 'David Itchkawitz', 'Kimberly L. Jackson', 'Ken Jacowitz', 'Michael Jefferson', 'Darryle Jermaine', 'Matthew William Jones', 'Spike Jonze', 'Drew Jordan', 'Silvia Kal', 'Christie Kane', 'Adam Kaster', 'Brian Kealty', 'Nick Kellington', 'Samantha Kelly', 'Chris Kerson', 'Stass Klassen', 'Natasha Kojic', 'Kenneth Kopolovicz', 'Alex Korik', 'James Korloch', 'David Kubicka', 'George LaLov', 'David Lanson', 'Alec Lawless', 'Kamron Leal', 'Benjamin Leasure', 'Billy Lee', 'Adam Leong', 'Paul Jude Letersky', 'Fenton Li', 'Jerry Lobrow', 'Leonard Logsdail', 'Andrew J. Lonsdale', 'Alexander LoVerde', 'Rick Lovett', 'Erika Lynn', 'Will MacAdam', 'Stephen Macari', 'Evelyn Madera', 'Mike Malvagno', 'Stephanie Manescu', 'Shawlini Manjunath-Holbrook', 'Judah McFadden', 'Kirk McGee', 'Max McLaughlin', 'Tiffany Messam', 'Zach Miko', 'Bryan A. Miranda', 'Alexander Moitzi', 'Ben Monahan', 'Kellen Moriarty', 'Karen Morris', 'Ron Nakahara', 'Lee Navlen', 'Nicole Neuman', 'Chris Nuñez', 'Nyell', ""Seregon O'Dassey"", 'Joseph Oliveira', 'Daniel Olson', 'Erik Olssen', 'Jennifer Ortiz', 'And Palladino', 'Rocco Palmieri', 'Thomas Patrick', 'Geoffrey J.D. Payne', 'Jon L Peacock', 'Andrew Penabad', 'Katrina E. Perkins', 'Mike Perkins', 'Michael Perrie Jr.', 'Joseph Piazza', 'Diane Poulos', 'Michael Power', 'Emma Powers', 'Jelani Quinn', 'Thomas Raimondo', 'Jennifer Rainey', 'Jon Douglas Rainey', 'Neil Reese', 'Abbie Richards', 'Brittney Parker Rose', 'Jamie Rosen', 'Rachel Rossin', 'Tyler Evan Rowe', 'Nicole Rutigliano', 'Meki Saldana', 'Sibyl Santiago', 'Chuck Schanamann', 'Martin Schöndorfer', 'Vin Scialla', 'Jay Scott', 'Keith P. Scott', 'Terra Kimberly Scott', 'Gabriel Sickel', 'Robert Skelly', 'Chris Skeries', 'Kelly Southerland', 'Tucker Sparkman', 'Meredith Riley Stewart', 'Matt Strickland', 'Gerard Sullivan', 'Rafael Svarin', 'Marianne Tatum', 'Billy Clark Taylor', 'Adam Teper', 'Nicky Teti', 'Dave Thompson', 'Logan Thoreau', 'Paul Thornton', 'Ryan Timberlake', 'Cassi Torres', 'Kathleen Tripp', 'Josh Trovato', 'Alex Van Zeelandt', 'Reginald VelJohnson', 'Stefano Villabona', 'Madeleine Wade', 'Sylvia Ward', 'Sky Watersend', 'Fredrick Weiss', 'David Wenzel', 'Jaleel White', 'Darren Whitfield', 'Ben Paul Williams', 'Edward Woodward', 'Nicholas Wuehrmann', 'Perri Yaniv', 'Joe Zaso', 'Nenad Zezelj', 'Jeremy Zierau']","https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Some Like It Hot,8.2,1959,Comedy,Billy Wilder,"['Billy Wilder', 'I.A.L. Diamond', 'Robert Thoeren', 'Michael Logan']","https://m.media-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,6,190,281_.jpg"
Green Book,8.2,2018,Biography,Peter Farrelly,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco', 'Dimiter D. Marinov', 'Mike Hatton', 'P.J. Byrne', 'Joe Cortese', 'Mary Agnes Nixon', 'Von Lewis', 'Jon Sortland', 'Don Stark', 'Anthony Mangano', 'Paul Sloan', 'Quinn Duffy', 'Seth Hurwitz', 'Hudson Galloway', 'Gavin Lyle Foley', 'Rodolfo Vallelonga', 'Louis Venere', 'Frank Vallelonga', 'Don DiPetta', 'Jenna Laurenzo', 'Suehyla El-Attar Young', 'Kenneth Israel', 'Derrick Spears', 'Johnny Williams', 'Randal Gonzalez', 'Iqbal Theba', 'Sharon Landry', 'Nick Vallelonga', 'David An', 'Mike Cerrone', 'Peter Gabb', 'Gertrud Sigle', 'Geraldine Singer', 'Ron Flagge', 'Martin Bats Bradford', 'Ted Huckabee', 'Gralen Bryant Banks', 'Sam Malone', 'Floyd Miles', 'David Kallaway', 'James W. Evermore', 'Harrison Stone', 'Ricky Muse', 'Tom Virtue', 'Christina Simpkins', 'Kermit C Burns', 'Lindsay Brice', 'Shane Partlow', 'Daniel Greene', 'Brian Distance', 'Craig DiFrancia', 'Dennis W. Hall', 'Leslie Castay', 'David Simpson', 'Jim Klock', 'Billy Breed', 'Dane Rhodes', 'Brian Stepanek', 'Jon Michael Davis', 'Montrel Miller', 'Ninja N. Devoe', 'Brian Hayes Currie', 'Ethan Airhart', 'Lexi Elizabeth Audler', 'Rachelle Beinart', 'Brett Beoubay', 'Corey Booth', 'Rusty Bourg', 'Tracy Brotherton', 'Rebecca Chulew', 'Jay Conlin', 'John Currie', 'Karen Dalferes', 'Douglas DeLisle', 'Jared Drennan', 'Seve Esposito', 'John Frederick', 'William E. Harris', 'Shawn Bradly Hoefer', 'Rebecca Hyland', 'Jessica Underwood James', 'Jackie Jenkins Jr.', 'Andreanna L Jenson', 'DeJuon Joseph', 'Karn Kalra', 'Steve Kish', 'Jeffrey Klemmer', 'Ken Knight', 'Kate Kuen', 'Emily LaGroue', 'Cynthia LeBlanc', 'Elton LeBlanc', 'Bruce Vincent Logan', 'Tonya Maldonado', 'Phil Meyer', 'Arnold Montey', 'Lauretta Morrison', 'Molly Mulhern', 'Shane Pagano', 'Marine Pascetta', 'Ron M Patterson', 'Jeffrey Riseden', 'Lindsay Small Barrios', 'Toney Chapman Steele', 'Shane Waldron', 'Mike A. Young']","https://m.media-amazon.com/images/M/MV5BYzIzYmJlYTYtNGNiYy00N2EwLTk4ZjItMGYyZTJiOTVkM2RlXkEyXkFqcGdeQXVyODY1NDk1NjE@._V1_QL75_UX190_CR0,2,190,281_.jpg"
The Kid,8.2,1921,Comedy,Charles Chaplin,"['Charles Chaplin', 'Jackie Coogan', 'Carl Miller', 'Edna Purviance', 'Albert Austin', 'Beulah Bains', 'Nellie Bly Baker', 'Henry Bergman', 'Edward Biby', 'B.F. Blinn', 'Kitty Bradbury', 'Frank Campeau', 'Bliss Chevalier', 'Frances Cochran', 'Elsie Codd', 'Jack Coogan Sr.', 'Estelle Cook', 'Lillian Crane', ""Philip D'Oench"", 'Dan Dillon', 'Robert Dunbar', 'Florette Faulkner', 'Gloria Faythe', 'Rupert Franklin', 'Sadie Gordon', 'Lita Grey', 'Frank Hale', 'Martha Hall', 'Jules Hanft', 'Louise Hathaway', 'Silas Hathaway', 'Flora Howard', 'Ed Hunt', 'Lulu Jenks', 'Irene Jennings', 'Kathleen Kay', 'Grace Keller', 'Sarah Kernan', 'Raymond Lee', 'Walter Lynch', 'V. Madison', 'Clyde McAtee', 'Michael J. McCarthy', 'John McKinnon', ""Ethel O'Neil"", 'Lew Parker', 'Charles I. Pierce', 'Laura Pollard', 'Evans Quirk', 'Esther Ralston', 'Granville Redmond', 'Charles Reisner', 'Henry Roser', 'J.B. Russell', 'George V. Sheldon', 'Edgar Sherrod', 'Elsie Sindora', 'Minnie Stearns', 'Arthur Thalasso', 'Edith Valk', 'Mother Vinot', 'May White', 'S.D. Wilcox', 'Baby Wilson', 'Tom Wilson', 'Amanda Yanez', 'Baby Yanez', 'Elsie Young']","https://m.media-amazon.com/images/M/MV5BZjhhMThhNDItNTY2MC00MmU1LTliNDEtNDdhZjdlNTY5ZDQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,2,190,281_.jpg"
ذا فاذر,8.2,2020,Drama,Florian Zeller,"['Christopher Hampton', 'Florian Zeller', 'Florian Zeller']","https://m.media-amazon.com/images/M/MV5BZGJhNWRiOWQtMjI4OS00ZjcxLTgwMTAtMzQ2ODkxY2JkOTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Judgment at Nuremberg,8.3,1961,Drama,Stanley Kramer,"['Abby Mann', 'Abby Mann', 'Montgomery Clift']","https://m.media-amazon.com/images/M/MV5BNDc2ODQ5NTE2MV5BMl5BanBnXkFtZTcwODExMjUyNA@@._V1_QL75_UX190_CR0,2,190,281_.jpg"
All About Eve,8.2,1950,Drama,Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm', 'Gary Merrill', 'Hugh Marlowe', 'Gregory Ratoff', 'Barbara Bates', 'Marilyn Monroe', 'Thelma Ritter', 'Walter Hampden', 'Randy Stuart', 'Craig Hill', 'Leland Harris', 'Barbara White', 'Eddie Fisher', 'William Pullen', 'Claude Stroud', 'Eugene Borden', 'Helen Mowery', 'Steven Geray', 'Gertrude Astor', 'Frank Baker', 'Ralph Brooks', 'Jack Chefe', 'Sayre Dearing', 'Jack Deery', 'Franklyn Farnum', 'Bess Flowers', 'Colin Kenny', 'Ethelreda Leopold', 'Carl M. Leviness', 'Leota Lorraine', 'William Marion', 'Thomas Martin', 'Mathew McCue', 'Harold Miller', ""William H. O'Brien"", 'Stanley Orr', 'Foster H. Phinney', 'Marion Pierce', 'Paul Power', 'Suzanne Ridgway', 'Ann Robinson', 'Cosmo Sardo', 'Larry Steers', 'Robert Whitney']","https://m.media-amazon.com/images/M/MV5BYmE1M2Y3NTYtYTI0Mi00N2JlLTkzMzItOTY1MTlhNWNkMDgzXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX190_CR0,3,190,281_.jpg"
The Truman Show,8.2,1998,Comedy,Peter Weir,"['Jim Carrey', 'Laura Linney', 'Noah Emmerich', 'Natascha McElhone', 'Holland Taylor', 'Brian Delate', 'Blair Slater', 'Peter Krause', 'Heidi Schanz', 'Ron Taylor', 'Don Taylor', 'Ted Raymond', 'Judy Clayton', 'Fritz Dominique', 'Angel Schmiedt', 'Nastassja Schmiedt', 'Muriel Moore', 'Mal Jones', 'Judson Vaughn', 'Earl Hilliard Jr.', 'David Andrew Nash', 'Jim Towers', 'Savannah Swafford', 'Antoni Corone', 'Mario Ernesto Sánchez', 'John Roselius', 'Kade Coates', 'Marcia DeBonis', 'Sam Kitchin', 'Sebastian Youngblood', 'Dave Corey', 'Mark Alan Gillott', 'Jay Saiter', 'Tony Todd', 'Marco Rubeo', 'Daryl Davis', 'Robert Davis', 'R.J. Murdock', 'Matthew McDonough', 'Larry McDowell', 'Joseph Lucus', 'Logan Kirksey', 'Ed Harris', 'Paul Giamatti', 'Adam Tomei', 'Harry Shearer', 'Una Damon', 'Philip Baker Hall', 'John Pleshette', 'Philip Glass', 'John Pramik', 'O-Lan Jones', 'Krista Lynn Landolfi', 'Joe Minjares', 'Al Foster', 'Zoaunne LeRoy', 'Millie Slavin', 'Terry Camilleri', 'Dona Hardy', 'Jeanette Miller', 'Joel McKinnon Miller', 'Tom Simmons', 'Susan Angelo', 'Carly Smiga', 'Yuji Okumoto', 'Kiyoko Yamaguchi', 'Saemi Nakamura', 'Jake Eberle', 'Melissa Fitzgerald', 'Sergio Kato', 'Marc Macaulay', 'Michael J. McAlister', 'Mickalean McCormick', 'Arnold Montey', 'Lorin Moore', 'Courtney Pakiz', 'Kevin D. Ross', 'Joseph Rye', 'Michael Satterfield', 'Devin Schumacher', 'Erica Taylor', 'A. Marshal Ward']","https://m.media-amazon.com/images/M/MV5BMDIzODcyY2EtMmY2MC00ZWVlLTgwMzAtMjQwOWUyNmJjNTYyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Top Gun: Maverick,8.2,2022,Action,Joseph Kosinski,"['Jim Cash', 'Jack Epps Jr.', 'Peter Craig', 'Justin Marks', 'Ehren Kruger', 'Eric Warren Singer', 'Christopher McQuarrie']","https://m.media-amazon.com/images/M/MV5BZWYzOGEwNTgtNWU3NS00ZTQ0LWJkODUtMmVhMjIwMjA1ZmQwXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Shutter Island,8.2,2010,Drama,Martin Scorsese,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley', 'Max von Sydow', 'Michelle Williams', 'Emily Mortimer', 'Patricia Clarkson', 'Jackie Earle Haley', 'Ted Levine', 'John Carroll Lynch', 'Elias Koteas', 'Robin Bartlett', 'Christopher Denham', 'Nellie Sciutto', 'Joseph Sikora', 'Curtiss Cook', 'Raymond Anthony Thomas', 'Joseph McKenna', 'Ruby Jerins', 'Tom Kemp', 'Bates Wilder', 'Lars Gerhard', 'Matthew Cowles', 'Jill Larson', 'Ziad Akl', 'Dennis Lynch', 'John Porell', 'Aidan Cole Mitchell', 'Drew Beasley', 'Joseph P. Reidy', 'Bree Elrod', 'Thomas B. Duffy', 'Ken Cheeseman', 'Steve Witting', 'Michael E. Chapman', 'Keith Fluker', 'Darryl Wooten', 'Michael Byron', 'Gary Galone', 'Gabriel Hansen', 'Stephen Adler', 'Cassity Atkins', 'Devon Avery', 'Brina', 'Luke Burnyeat', 'Todd Byron', 'Danny Carney', 'Jeffrey Corazzini', 'John Franchi', 'Robert Grant', 'Rob W. Gray', 'Guy A. Grundy', 'Cody Harter', 'Mackenzie Hawe', 'Chris Henderson', 'Mark Hetherington', 'Alexander L. Hoffman', 'Samantha Kelly', 'J Parker Kent', 'Mary Koomjian', 'Suzanne LaChasse', 'Sean Landergan', 'Daniel Lowney', 'Charles Luise', 'Stephen Marchessault', 'Evalena Marie', 'Dan Marshall', 'Robert Masiello', 'Alex Milne', 'Arnold Montey', 'Angela Palmer-Haibach', 'Americo Presciutti', 'Donna Glee Reim', 'Eric Rollins', 'James Sanguinetti', 'Skip Shea', 'Billy Silvia', 'Claudio Lee Smith', 'Jon Robert Stafford', 'Franz Strassmann', 'Andrew C. Wiley', 'Harrison Young']","https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
There Will Be Blood,8.2,2007,Drama,Paul Thomas Anderson,"['Daniel Day-Lewis', 'Martin Stringer', 'Matthew Braden Stringer', 'Jacob Stringer', 'Joseph Mussey', 'Barry Del Sherman', 'Harrison Taylor', 'Stockton Taylor', 'Paul F. Tompkins', 'Dillon Freasier', 'Kevin Breznahan', 'Jim Meskimen', 'Erica Sullivan', 'Randall Carver', 'Coco Leigh', 'Paul Dano', 'Ciarán Hinds', 'Sydney McCallister', 'David Willis', 'Christine Olejniczak', 'Kellie Hill', 'James Downey', 'Dan Swallow', 'Robert Arber', 'Bob Bell', 'David Williams', 'Joy Rawls', 'Louise Gregg', 'Amber Roberts', 'John W. Watts', 'Robert Caroline', 'Barry Bruce', 'Irene G. Hunter', 'Hope Elizabeth Reeves', 'John Chitwood', ""Kevin J. O'Connor"", 'David Warshofsky', 'Charles Thomas Doyle', 'Colton Woodward', 'John Burton', 'Hans Howes', 'Robert Barge', 'Ronald Krut', 'Huey Rhudy', 'Steven Barr', 'Robert Hills', 'Colleen Foy', 'Russell Harvard', 'Bob Bock', 'Vince Froio', 'Phil Shelly', 'Mary Elizabeth Barrett', 'Brad Carr', 'Kathryn A Davis', 'Spencer Kayden', 'Arnold Montey', 'Rhonda Reeves', 'Guy Richardson', 'Beau Smith', 'Arne Starr']","https://m.media-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Casino,8.2,1995,Crime,Martin Scorsese,"['Nicholas Pileggi', 'Nicholas Pileggi', 'Martin Scorsese']","https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
Jurassic Park,8.2,1993,Action,Steven Spielberg,"['Michael Crichton', 'Michael Crichton', 'David Koepp']","https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_QL75_UX190_CR0,2,190,281_.jpg"
